INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
288208649,06/08/2024,3:00:00,QUEENS,OUTSIDE,110,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1019164,210169,,,
283404608,03/07/2024,16:14:00,BRONX,OUTSIDE,40,0,STREET,(null),Y,<18,M,BLACK,<18,M,BLACK,1005028,234516,,,
281486708,02/01/2024,8:17:00,QUEENS,OUTSIDE,113,0,COMMERCIAL,BAR/NIGHT CLUB,N,(null),(null),(null),25-44,M,BLACK,1046315,187088,,,
280179979,01/08/2024,18:30:00,BROOKLYN,OUTSIDE,79,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,999496,190300,,,
289111780,06/25/2024,23:45:00,BRONX,OUTSIDE,42,0,STREET,(null),N,18-24,M,BLACK,18-24,M,BLACK,1008690,238862,,,
287671763,05/29/2024,23:13:00,BRONX,OUTSIDE,52,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1017478,256069,,,
292640930,09/02/2024,5:37:00,BRONX,OUTSIDE,42,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1008690,238862,,,
290044415,07/13/2024,1:00:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),Y,25-44,M,BLACK,18-24,M,BLACK,1001370,238165,40.820368,-73.938143,POINT (-73.938143 40.820368)
287507794,05/24/2024,0:14:00,BRONX,OUTSIDE,52,0,STREET,(null),Y,18-24,M,WHITE HISPANIC,25-44,F,BLACK,1010619,252255,40.859017,-73.904672,POINT (-73.904672 40.859017)
285259765,04/12/2024,16:50:00,BROOKLYN,OUTSIDE,75,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1015572,178301,40.656019,-73.887112,POINT (-73.887112 40.656019)
289469889,07/02/2024,19:45:00,BRONX,OUTSIDE,52,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1011721,253566,40.862614,-73.900682,POINT (-73.900682 40.862614)
290420710,07/21/2024,22:51:00,BROOKLYN,OUTSIDE,88,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,993783,193135,40.696784,-73.965621,POINT (-73.965621 40.696784)
291957216,08/19/2024,18:33:00,BRONX,OUTSIDE,46,0,STREET,(null),N,45-64,M,BLACK HISPANIC,25-44,M,BLACK,1007242,248348,40.848304,-73.916893,POINT (-73.916893 40.848304)
296246343,11/08/2024,18:46:00,QUEENS,OUTSIDE,114,0,STREET,(null),N,25-44,M,BLACK HISPANIC,25-44,M,ASIAN / PACIFIC ISLANDER,1006432,215383,40.757826,-73.919931,POINT (-73.919931 40.757826)
280179978,01/08/2024,14:30:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK,1038515,196822,40.706741,-73.804274,POINT (-73.804274 40.706741)
289527845,07/03/2024,21:40:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,25-44,M,BLACK,25-44,M,BLACK,1007938,250692,40.854737,-73.914371,POINT (-73.914371 40.854737)
298147867,12/17/2024,23:08:00,BRONX,INSIDE,50,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,<18,M,BLACK,<18,M,WHITE HISPANIC,1009975,258835,40.877081,-73.906973,POINT (-73.906973 40.877081)
290128857,07/15/2024,19:36:00,BROOKLYN,OUTSIDE,79,0,STREET,(null),Y,18-24,M,BLACK,25-44,M,BLACK,996126,190239,40.688832,-73.957177,POINT (-73.957177 40.688832)
294453593,10/06/2024,22:20:00,BROOKLYN,OUTSIDE,79,0,STREET,(null),N,(null),(null),(null),45-64,M,BLACK,997953,187649,40.68172,-73.950592,POINT (-73.950592 40.68172)
289349079,06/29/2024,2:00:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1006671,241120,40.828466,-73.918981,POINT (-73.918981 40.828466)
