id,month,burglary,damage,drugs,pow,robbery,sac,viol,vehicle_crime,ttl_sac_viol_cd,intervention ,treatment
E01006412,2020-01-01,1,0,0,0,0,1,2,0,3,0,0
E01006413,2020-01-01,0,0,2,1,0,1,8,1,9,0,0
E01006414,2020-01-01,0,2,2,0,0,1,4,1,7,0,0
E01006415,2020-01-01,1,0,9,1,0,2,9,1,11,0,0
E01006416,2020-01-01,0,0,3,0,0,0,15,0,15,0,0
E01006417,2020-01-01,0,4,2,1,0,0,4,0,8,0,0
E01006418,2020-01-01,0,3,2,0,0,2,1,2,6,0,0
E01006419,2020-01-01,1,1,0,0,0,1,0,0,2,0,0
E01006420,2020-01-01,2,2,1,0,1,4,3,1,9,0,0
E01006421,2020-01-01,5,1,0,0,0,6,0,1,7,0,0
E01006422,2020-01-01,0,1,0,0,0,0,0,0,1,0,0
E01006423,2020-01-01,0,2,0,0,0,0,1,0,3,0,0
E01006424,2020-01-01,0,2,1,1,0,2,3,2,7,0,0
E01006425,2020-01-01,4,0,0,0,0,4,2,0,6,0,0
E01006426,2020-01-01,0,0,1,0,1,1,2,0,3,0,0
E01006427,2020-01-01,0,1,2,0,0,0,0,0,1,0,0
E01006428,2020-01-01,2,0,0,0,0,2,5,0,7,0,0
E01006429,2020-01-01,1,2,0,0,0,1,5,0,8,0,0
E01006430,2020-01-01,0,1,0,0,0,1,5,1,7,0,0
E01006431,2020-01-01,0,4,0,0,0,0,5,0,9,0,0
E01006432,2020-01-01,0,1,1,0,0,1,6,1,8,0,0
E01006433,2020-01-01,0,3,1,0,0,1,6,1,10,0,0
E01006434,2020-01-01,0,5,4,0,0,1,13,1,19,0,0
E01006435,2020-01-01,1,4,2,1,0,1,3,0,8,0,0
E01006436,2020-01-01,3,3,7,0,0,6,11,3,20,0,0
E01006437,2020-01-01,1,5,6,1,0,3,8,2,16,0,0
E01006438,2020-01-01,1,0,0,0,0,3,4,2,7,0,0
E01006439,2020-01-01,0,1,1,0,0,0,1,0,2,0,0
E01006440,2020-01-01,1,1,3,0,0,1,4,0,6,0,0
E01006442,2020-01-01,1,1,2,0,0,1,9,0,11,0,0
E01006443,2020-01-01,2,0,2,0,0,3,11,1,14,0,0
E01006444,2020-01-01,3,1,0,0,0,3,2,0,6,0,0
E01006445,2020-01-01,0,2,1,0,0,0,7,0,9,0,0
E01006446,2020-01-01,1,0,2,0,0,2,4,1,6,0,0
E01006447,2020-01-01,1,2,0,2,0,1,6,0,9,0,0
E01006448,2020-01-01,2,2,5,0,0,4,4,2,10,0,0
E01006449,2020-01-01,0,1,0,0,0,1,7,1,9,0,0
E01006450,2020-01-01,1,1,1,0,0,3,4,2,8,0,0
E01006451,2020-01-01,1,1,0,1,0,2,4,1,7,0,0
E01006452,2020-01-01,0,3,0,0,0,2,8,2,13,0,0
E01006453,2020-01-01,0,1,1,0,0,1,6,1,8,0,0
E01006454,2020-01-01,0,0,2,0,0,1,2,1,3,0,0
E01006455,2020-01-01,1,3,4,1,0,5,6,4,14,0,0
E01006456,2020-01-01,1,0,2,0,0,1,2,0,3,0,0
E01006457,2020-01-01,0,0,2,0,0,2,0,2,2,0,0
E01006458,2020-01-01,0,2,5,0,0,0,5,0,7,0,0
E01006459,2020-01-01,0,4,0,0,0,0,1,0,5,0,0
E01006460,2020-01-01,3,4,0,0,0,11,3,8,18,0,0
E01006461,2020-01-01,0,3,1,0,0,0,13,0,16,0,0
E01006462,2020-01-01,1,0,0,0,0,2,4,1,6,0,0
E01006464,2020-01-01,1,4,2,0,0,3,7,2,14,0,0
E01006465,2020-01-01,2,0,0,0,0,3,1,1,4,0,0
E01006466,2020-01-01,0,2,0,0,1,2,3,1,7,0,0
E01006467,2020-01-01,0,3,0,0,0,1,7,1,11,0,0
E01006470,2020-01-01,1,3,2,0,0,1,1,0,5,0,0
E01006471,2020-01-01,3,1,0,0,1,5,1,1,7,0,0
E01006472,2020-01-01,0,4,0,0,0,0,2,0,6,0,0
E01006473,2020-01-01,0,1,1,0,0,0,1,0,2,0,0
E01006474,2020-01-01,1,3,1,0,0,3,5,2,11,0,0
E01006475,2020-01-01,1,2,0,0,0,1,4,0,7,0,0
E01006476,2020-01-01,0,0,0,0,0,1,0,1,1,0,0
E01006477,2020-01-01,0,0,1,0,0,1,4,1,5,0,0
E01006478,2020-01-01,0,2,1,0,0,1,10,1,13,0,0
E01006479,2020-01-01,1,1,1,0,0,3,1,2,5,0,0
E01006480,2020-01-01,0,1,0,1,0,0,2,0,3,0,0
E01006481,2020-01-01,2,8,5,0,0,5,19,3,32,0,0
E01006482,2020-01-01,0,1,3,0,0,0,6,0,7,0,0
E01006483,2020-01-01,1,2,0,0,0,1,8,0,11,0,0
E01006484,2020-01-01,0,2,1,0,0,0,1,0,3,0,0
E01006485,2020-01-01,3,2,0,0,0,5,0,2,7,0,0
E01006486,2020-01-01,2,0,0,0,0,2,3,0,5,0,0
E01006487,2020-01-01,0,0,0,0,0,1,4,1,5,0,0
E01006488,2020-01-01,0,1,1,0,0,1,0,1,2,0,0
E01006489,2020-01-01,0,1,0,1,0,1,0,1,2,0,0
E01006490,2020-01-01,0,0,0,0,0,0,4,0,4,0,0
E01006491,2020-01-01,0,0,2,0,0,0,8,0,8,0,0
E01006492,2020-01-01,0,1,0,0,0,0,5,0,6,0,0
E01006493,2020-01-01,0,3,2,0,0,0,2,0,5,0,0
E01006494,2020-01-01,0,3,0,0,0,1,4,1,8,0,0
E01006495,2020-01-01,1,5,11,1,0,5,10,4,20,0,0
E01006496,2020-01-01,0,1,0,0,0,0,1,0,2,0,0
E01006497,2020-01-01,1,1,0,0,0,2,3,1,6,0,0
E01006498,2020-01-01,2,0,0,0,0,2,4,0,6,0,0
E01006499,2020-01-01,0,5,0,0,0,2,11,2,18,0,0
E01006500,2020-01-01,1,1,0,0,0,1,5,0,7,0,0
E01006501,2020-01-01,0,1,0,0,0,0,2,0,3,0,0
E01006502,2020-01-01,0,0,1,0,0,0,2,0,2,0,0
E01006503,2020-01-01,0,0,0,0,0,0,4,0,4,0,0
E01006504,2020-01-01,0,0,0,0,0,0,7,0,7,0,0
E01006505,2020-01-01,0,1,1,0,0,0,3,0,4,0,0
E01006506,2020-01-01,1,1,3,0,0,1,6,0,8,0,0
E01006507,2020-01-01,0,1,10,0,0,0,3,0,4,0,0
E01006508,2020-01-01,0,1,1,0,0,0,3,0,4,0,0
E01006509,2020-01-01,2,1,4,0,0,2,11,0,14,0,0
E01006510,2020-01-01,0,1,4,0,0,3,1,3,5,0,0
E01006512,2020-01-01,3,1,2,2,0,5,12,2,18,0,0
E01006514,2020-01-01,2,3,6,0,0,5,19,3,27,0,0
E01006518,2020-01-01,0,2,3,0,1,3,6,2,11,0,0
E01006519,2020-01-01,1,0,1,0,0,2,2,1,4,0,0
E01006520,2020-01-01,1,4,2,0,1,4,8,2,16,0,0
E01006521,2020-01-01,0,1,2,0,0,0,4,0,5,0,0
E01006522,2020-01-01,1,3,0,0,3,5,2,1,10,0,0
E01006523,2020-01-01,0,2,1,0,0,3,1,3,6,0,0
E01006524,2020-01-01,1,1,0,0,0,2,3,1,6,0,0
E01006525,2020-01-01,2,1,0,0,0,2,1,0,4,0,0
E01006526,2020-01-01,0,0,0,0,0,0,0,0,0,0,0
E01006527,2020-01-01,1,0,0,0,0,2,1,1,3,0,0
E01006528,2020-01-01,0,1,1,0,0,1,10,1,12,0,0
E01006529,2020-01-01,0,0,0,0,0,0,2,0,2,0,0
E01006530,2020-01-01,1,0,0,0,0,4,3,3,7,0,0
E01006531,2020-01-01,0,0,0,0,0,1,0,1,1,0,0
E01006532,2020-01-01,1,0,0,0,0,1,2,0,3,0,0
E01006533,2020-01-01,0,0,0,0,0,1,4,1,5,0,0
E01006534,2020-01-01,1,3,1,0,1,2,6,0,11,0,0
E01006535,2020-01-01,1,2,0,0,0,1,2,0,5,0,0
E01006536,2020-01-01,0,0,1,0,0,1,2,1,3,0,0
E01006537,2020-01-01,21,2,2,0,0,23,6,2,31,0,0
E01006538,2020-01-01,0,2,1,0,0,0,15,0,17,0,0
E01006539,2020-01-01,2,1,0,0,1,4,4,1,9,0,0
E01006540,2020-01-01,0,8,3,1,0,0,14,0,22,0,0
E01006541,2020-01-01,1,0,1,0,0,2,4,1,6,0,0
E01006542,2020-01-01,1,5,5,0,1,3,10,1,18,0,0
E01006543,2020-01-01,0,0,0,1,0,1,1,1,2,0,0
E01006544,2020-01-01,1,1,1,0,0,3,4,2,8,0,0
E01006545,2020-01-01,0,4,0,0,0,3,11,3,18,0,0
E01006546,2020-01-01,1,1,2,0,0,5,11,4,17,0,0
E01006547,2020-01-01,0,4,5,2,1,2,10,1,16,0,0
E01006548,2020-01-01,0,1,6,0,0,2,11,2,14,0,0
E01006549,2020-01-01,2,1,1,0,0,2,3,0,6,0,0
E01006550,2020-01-01,0,1,0,0,0,1,1,1,3,0,0
E01006551,2020-01-01,0,1,0,0,1,1,6,0,8,0,0
E01006552,2020-01-01,1,1,2,0,0,1,4,0,6,0,0
E01006553,2020-01-01,0,1,2,0,0,1,2,1,4,0,0
E01006554,2020-01-01,0,0,0,0,0,0,2,0,2,0,0
E01006556,2020-01-01,2,1,1,0,0,7,8,5,16,0,0
E01006557,2020-01-01,1,0,1,0,1,3,8,1,11,0,0
E01006558,2020-01-01,7,1,4,0,1,12,4,4,17,0,0
E01006560,2020-01-01,0,4,1,0,0,4,13,4,21,0,0
E01006562,2020-01-01,3,1,0,1,0,4,6,1,11,0,0
E01006563,2020-01-01,3,3,1,0,0,5,6,2,14,0,0
E01006564,2020-01-01,1,0,0,0,0,1,6,0,7,0,0
E01006565,2020-01-01,2,0,3,0,0,4,5,2,9,0,0
E01006566,2020-01-01,1,1,0,0,0,1,1,0,3,0,0
E01006567,2020-01-01,0,4,0,1,1,2,12,1,18,0,0
E01006568,2020-01-01,1,1,0,0,0,1,1,0,3,0,0
E01006569,2020-01-01,2,4,2,1,0,4,8,2,16,0,0
E01006570,2020-01-01,3,0,2,0,0,5,5,2,10,0,0
E01006571,2020-01-01,1,2,3,0,0,4,5,3,11,0,1
E01006572,2020-01-01,0,0,0,0,0,0,4,0,4,0,1
E01006573,2020-01-01,2,2,2,1,0,3,7,1,12,0,0
E01006574,2020-01-01,0,0,0,0,0,0,8,0,8,0,1
E01006575,2020-01-01,2,0,0,0,0,3,1,1,4,0,0
E01006576,2020-01-01,3,2,0,0,0,6,3,3,11,0,0
E01006577,2020-01-01,0,0,0,0,0,1,0,1,1,0,0
E01006578,2020-01-01,1,0,0,0,0,1,2,0,3,0,0
E01006579,2020-01-01,0,0,0,0,0,0,2,0,2,0,0
E01006580,2020-01-01,1,0,0,1,0,1,2,0,3,0,0
E01006581,2020-01-01,0,0,1,0,0,0,1,0,1,0,0
E01006582,2020-01-01,1,1,1,0,0,1,4,0,6,0,0
E01006583,2020-01-01,0,0,0,0,0,0,1,0,1,0,0
E01006584,2020-01-01,0,2,1,0,0,3,4,3,9,0,0
E01006585,2020-01-01,0,7,0,0,0,0,5,0,12,0,0
E01006586,2020-01-01,6,2,0,2,0,7,5,1,14,0,0
E01006587,2020-01-01,3,1,0,0,0,6,5,3,12,0,0
E01006588,2020-01-01,0,3,2,0,0,0,7,0,10,0,0
E01006589,2020-01-01,0,1,0,0,0,0,0,0,1,0,0
E01006590,2020-01-01,2,1,0,0,0,2,3,0,6,0,0
E01006591,2020-01-01,3,1,1,0,1,6,3,2,10,0,0
E01006592,2020-01-01,2,0,0,0,0,2,1,0,3,0,0
E01006593,2020-01-01,1,1,0,0,0,3,5,2,9,0,0
E01006594,2020-01-01,0,0,0,0,0,0,0,0,0,0,0
E01006595,2020-01-01,1,0,0,0,0,5,2,4,7,0,0
E01006596,2020-01-01,0,1,1,0,0,2,1,2,4,0,0
E01006597,2020-01-01,0,0,0,0,0,1,1,1,2,0,0
E01006598,2020-01-01,1,1,0,0,0,1,3,0,5,0,0
E01006599,2020-01-01,2,2,0,0,0,4,9,2,15,0,0
E01006600,2020-01-01,1,1,0,0,0,2,1,1,4,0,0
E01006603,2020-01-01,1,3,2,0,0,1,6,0,10,0,0
E01006604,2020-01-01,1,3,1,0,0,2,7,1,12,0,0
E01006605,2020-01-01,0,3,2,0,0,1,1,1,5,0,0
E01006606,2020-01-01,0,2,0,0,0,3,5,3,10,0,0
E01006607,2020-01-01,0,3,1,0,0,0,3,0,6,0,0
E01006608,2020-01-01,1,1,1,0,0,2,8,1,11,0,0
E01006609,2020-01-01,1,3,0,0,2,3,9,0,15,0,0
E01006610,2020-01-01,1,0,5,0,0,3,9,2,12,0,0
E01006611,2020-01-01,2,1,1,0,1,4,5,1,10,0,0
E01006612,2020-01-01,0,2,1,0,0,3,9,3,14,0,0
E01006613,2020-01-01,2,0,3,0,0,4,1,2,5,0,0
E01006614,2020-01-01,1,6,2,0,0,3,6,2,15,0,0
E01006615,2020-01-01,0,1,2,0,0,3,8,3,12,0,0
E01006616,2020-01-01,1,3,1,1,0,5,4,4,12,0,0
E01006617,2020-01-01,1,0,0,0,0,10,9,9,19,0,0
E01006618,2020-01-01,0,1,1,0,1,1,5,0,7,0,0
E01006619,2020-01-01,0,0,0,0,0,2,2,2,4,0,0
E01006620,2020-01-01,0,1,0,0,4,5,0,1,6,0,0
E01006621,2020-01-01,1,0,1,0,0,5,2,4,7,0,0
E01006622,2020-01-01,1,1,0,0,0,2,0,1,3,0,0
E01006623,2020-01-01,1,1,0,0,0,4,2,3,7,0,0
E01006624,2020-01-01,1,4,3,0,0,1,12,0,17,0,0
