index,census_code,DistrictCode,deprivation_rate,population_density,economically_active_percent,ethnicity_non_white_percent,born_uk_percent,managerial_profession_percent,no_qualifications_percent,treatment,residents,ec_active,non_white,manager,no_qualifications,unemployed
0,E01006571,E08000012,0.96,3914.520277,0.532173913,0.076548365,0.944134078,0.324137931,0.320623917,1,1432,612,110,188,370,33
1,E01006572,E08000012,0.98,10208.68126,0.507306889,0.064234734,0.907290016,0.277657267,0.342351717,1,1262,486,81,128,329,38
2,E01006574,E08000012,0.98,8209.476998,0.505511811,0.047681254,0.842829077,0.308702791,0.348616601,1,1527,642,73,188,441,33
3,E01006643,E08000012,0.98,9032.043988,0.556934307,0.082411504,0.852631579,0.255060729,0.276766205,1,1805,763,149,189,380,57
4,E01007048,E08000014,0.93,2469.264352,0.583935743,0.057540884,0.918231375,0.268188302,0.259229535,1,1651,727,95,188,323,69
5,E01007054,E08000014,0.87,2013.989477,0.554140127,0.025660377,0.956981132,0.289930556,0.270440252,1,1325,609,34,167,301,45
6,E01007083,E08000014,0.78,5412.524759,0.578441836,0.017667845,0.961879433,0.30726257,0.251612903,1,1128,542,20,165,234,23
7,E01007085,E08000014,0.95,6491.189634,0.546601942,0.020786934,0.928730512,0.210227273,0.298160697,1,1347,563,28,111,308,45
8,E01007086,E08000014,0.97,5099.855424,0.469791667,0.02548853,0.966072943,0.217889908,0.384375,1,1179,451,30,95,369,29
9,E01007087,E08000014,0.93,3990.932561,0.557481752,0.020194465,0.952131638,0.242753623,0.30558097,1,1337,611,27,134,334,68
10,E01007088,E08000014,0.97,3803.037029,0.579194002,0.018548387,0.961227787,0.336752137,0.246959775,1,1238,618,23,197,264,32
11,E01007119,E08000015,0.94,4596.165036,0.501202887,0.038858531,0.958737864,0.265993266,0.2929374,1,1648,625,64,158,365,44
12,E01007120,E08000015,0.92,2784.567598,0.535714286,0.046545455,0.95193008,0.408502773,0.218992248,1,1373,555,64,221,226,22
13,E01007124,E08000015,0.99,1856.867272,0.475908707,0.03024911,0.961470065,0.1875,0.340101523,1,1687,563,51,99,402,48
14,E01006556,E08000012,0.99,9179.856715,0.379179811,0.382310295,0.567763795,0.229927007,0.306911858,0,2066,601,791,126,484,116
15,E01006769,E08000012,0.91,5501.123407,0.463261649,0.063718141,0.950929368,0.299586777,0.321299639,0,1345,517,85,145,356,45
16,E01007131,E08000015,0.99,10878.35808,0.551993745,0.082093992,0.908333333,0.254014599,0.246286161,0,1680,706,138,174,315,44
17,E01006731,E08000012,0.98,7095.263766,0.50955414,0.053017945,0.910728911,0.271551724,0.312433581,0,1221,480,65,126,294,39
18,E01006435,E08000011,1,7070.941613,0.492219492,0.026263953,0.968462549,0.260344828,0.358135732,0,1522,601,40,151,438,42
19,E01006444,E08000011,0.99,5609.568008,0.468208092,0.05856833,0.916426513,0.202586207,0.372586873,0,1388,486,81,94,386,34
20,E01006412,E08000011,0.99,6206.295387,0.496271748,0.059606848,0.91439442,0.227826087,0.362198168,0,1577,599,94,131,435,55
21,E01006413,E08000011,1,4646.251681,0.483164983,0.034458509,0.871287129,0.217142857,0.378787879,0,1414,574,49,114,450,63
22,E01006414,E08000011,0.96,5805.42066,0.480751174,0.041605839,0.945335277,0.197095436,0.367880486,0,1372,512,57,95,394,39
23,E01006415,E08000011,0.89,1304.806369,0.628188776,0.036180905,0.95766129,0.318565401,0.272495214,0,1984,985,72,302,427,47
24,E01006416,E08000011,0.98,1200.977455,0.521813516,0.027704485,0.943383805,0.240204429,0.370338983,0,1519,610,42,141,437,41
25,E01006445,E08000011,0.99,7055.933758,0.548818088,0.046529968,0.943083004,0.18762475,0.3281893,0,1265,534,59,94,319,48
26,E01006417,E08000011,1,5441.042385,0.565261044,0.042891183,0.924543288,0.253283302,0.314257028,0,1259,563,54,135,313,37
27,E01006418,E08000011,0.98,3179.433134,0.535849057,0.020579268,0.965072134,0.240875912,0.385931559,0,1317,568,27,132,406,29
28,E01006419,E08000011,0.51,3489.402803,0.62510322,0.035277178,0.958933718,0.39205298,0.167630058,0,1388,757,49,296,203,31
29,E01006420,E08000011,0.47,216.4054332,0.696483971,0.074366431,0.959633791,0.538116592,0.140414508,0,2403,1347,179,720,271,44
30,E01006421,E08000011,0.51,5163.688127,0.657505285,0.049239033,0.977618621,0.453100159,0.12,0,1117,622,55,285,114,20
31,E01006422,E08000011,0.51,5234.348574,0.552973978,0.025620496,0.967304625,0.412457912,0.223364486,0,1254,595,32,245,239,18
32,E01006423,E08000011,0.41,5847.797768,0.634703196,0.027840482,0.969902182,0.421282799,0.157702826,0,1329,695,37,289,173,24
33,E01006424,E08000011,0.41,568.6931119,0.630177515,0.023933403,0.976611227,0.461756374,0.169239905,0,1924,1065,46,489,285,39
34,E01006425,E08000011,0.72,838.1793511,0.582325581,0.067398119,0.953834116,0.4375,0.205555556,0,1278,626,86,266,222,31
35,E01006426,E08000011,0.98,4825.932076,0.512328767,0.048744461,0.970501475,0.216634429,0.371011851,0,1356,561,66,112,407,58
36,E01006427,E08000011,0.57,4721.706233,0.555102041,0.046853147,0.945606695,0.365963855,0.223684211,0,1434,680,67,243,272,34
37,E01006428,E08000011,0.87,1722.230673,0.601180438,0.036942675,0.950286807,0.337719298,0.256323777,0,1569,713,58,231,304,48
38,E01006429,E08000011,0.97,1089.296671,0.5078125,0.048932384,0.986631016,0.246478873,0.330743618,0,1122,455,55,105,298,40
39,E01006430,E08000011,0.97,6656.844737,0.495253165,0.057591623,0.94557377,0.292436975,0.325158228,0,1525,626,88,174,411,41
40,E01006431,E08000011,0.75,4229.215762,0.639387891,0.053289831,0.942965779,0.416042781,0.188829787,0,1841,961,98,389,284,38
41,E01006432,E08000011,0.96,5838.454746,0.534920635,0.042784163,0.923273657,0.26552795,0.291533546,0,1564,674,67,171,365,54
42,E01006433,E08000011,0.51,5320.841362,0.565769806,0.060279188,0.951111111,0.333333333,0.230769231,0,1575,757,95,245,309,29
43,E01006434,E08000011,0.98,5531.089474,0.594300084,0.018445323,0.967741935,0.206896552,0.329441201,0,1519,709,28,138,395,60
44,E01006436,E08000011,1,6968.894728,0.490646259,0.026243094,0.962861073,0.172862454,0.365957447,0,1454,577,38,93,430,54
45,E01006437,E08000011,0.97,3258.142528,0.476626948,0.026599569,0.94676259,0.206060606,0.366453965,0,1390,520,37,102,402,37
46,E01006438,E08000011,0.51,605.4198235,0.554766734,0.046956522,0.951261967,0.443223443,0.211111111,0,1149,547,54,242,209,16
47,E01006439,E08000011,0.99,137.4308455,0.583946981,0.025454545,0.970374849,0.340232859,0.274002954,0,1654,793,42,263,371,40
48,E01006440,E08000011,0.86,671.6840678,0.542699725,0.03283369,0.950679056,0.276895944,0.295852535,0,1399,591,46,157,321,44
49,E01006442,E08000011,0.99,6930.971869,0.525913339,0.022252192,0.920945946,0.227915194,0.332761578,0,1480,619,33,129,388,67
50,E01006443,E08000011,1,6710.051005,0.468398268,0.031972789,0.942137509,0.275793651,0.341946598,0,1469,541,47,139,397,47
51,E01006446,E08000011,0.99,247.1342532,0.532923617,0.019986216,0.946169772,0.236135957,0.356007067,0,1449,607,29,132,403,54
52,E01006447,E08000011,0.99,7030.624092,0.531034483,0.041968162,0.886314265,0.234887737,0.347150259,0,1381,616,58,136,402,52
53,E01006448,E08000011,0.97,1638.802446,0.493859082,0.03746531,0.927911275,0.185238784,0.381723914,0,2164,764,81,128,589,75
54,E01006449,E08000011,0.83,5946.045852,0.56712963,0.028912634,0.968045113,0.346647646,0.244186047,0,1596,735,46,243,315,42
55,E01006450,E08000011,0.97,5500.163474,0.625465376,0.081967213,0.931155193,0.414337789,0.235598227,0,1714,840,140,341,319,31
56,E01006451,E08000011,0.9,6412.141537,0.545215101,0.024682652,0.975282486,0.323481117,0.288732394,0,1416,621,35,197,328,31
57,E01006452,E08000011,0.83,7836.355971,0.606382979,0.033994334,0.970859986,0.307578009,0.266071429,0,1407,684,48,207,298,29
58,E01006453,E08000011,0.97,8169.561486,0.522853958,0.041525424,0.932318105,0.211627907,0.34705228,0,1182,469,49,91,312,45
59,E01006454,E08000011,0.69,6956.651592,0.606013878,0.027184466,0.977375566,0.396396396,0.230471771,0,1547,786,42,308,298,14
60,E01006455,E08000011,0.99,4673.387696,0.512896094,0.026857143,0.936218679,0.216049383,0.337509211,0,1756,696,47,140,458,56
61,E01006456,E08000011,0.81,4334.884291,0.569031274,0.019736842,0.982905983,0.423988842,0.257229833,0,1521,746,30,304,338,36
62,E01006457,E08000011,0.7,3269.990796,0.518083183,0.012028869,0.983159583,0.30565371,0.317604356,0,1247,573,15,173,350,20
63,E01006458,E08000011,0.69,5168.775521,0.54516129,0.036199095,0.953024453,0.314456036,0.336553945,0,1554,676,56,211,418,27
64,E01006459,E08000011,0.74,6237.33221,0.619573216,0.103130755,0.887667888,0.401960784,0.209474463,0,1638,842,168,328,283,39
65,E01006460,E08000011,1,6348.404329,0.493461203,0.065359477,0.933420366,0.223938224,0.337108014,0,1532,566,100,116,387,57
66,E01006461,E08000011,0.97,4957.804579,0.513513514,0.043659044,0.953568954,0.236036036,0.330027051,0,1443,570,63,131,366,33
67,E01006462,E08000011,0.59,6750.12527,0.649890591,0.028268551,0.954652532,0.407491487,0.160701242,0,1698,891,48,359,220,25
68,E01006464,E08000011,0.94,2247.848048,0.646793135,0.05624297,0.926106527,0.490126939,0.184615385,0,2666,1432,150,695,408,49
69,E01006465,E08000011,0.83,1502.325775,0.635670732,0.071609632,0.941661382,0.494571773,0.156892612,0,1577,834,113,410,206,14
70,E01006466,E08000011,0.7,6065.999231,0.593114241,0.027461487,0.958305313,0.391655451,0.209651899,0,1487,758,41,291,265,23
71,E01006479,E08000011,0.85,6659.237141,0.593832599,0.033333333,0.976437976,0.341984733,0.251097454,0,1443,674,48,224,286,42
72,E01006467,E08000011,1,4993.596317,0.467532468,0.045906656,0.901689708,0.191142191,0.397397397,0,1302,468,60,82,397,47
73,E01006470,E08000011,0.99,6386.905012,0.518976169,0.031205674,0.94964539,0.203208556,0.378521127,0,1410,588,44,114,430,45
74,E01006471,E08000011,0.39,1970.370878,0.605157131,0.018455229,0.983550377,0.466216216,0.16734034,0,1459,751,27,345,207,23
