WKT,id,index
"POLYGON ((528508.846029212 168932.175106591,528366.394587841 168819.243168525,528401.467003827 168625.552669568,528578.992477917 168544.798406971,528721.441197252 168657.732171576,528686.367167267 168851.419388885,528508.846029212 168932.175106591))",1,89194ac34cfffff
"POLYGON ((535742.402196523 162265.097858939,535600.062209257 162152.091238249,535635.166034416 161958.388319896,535812.613238862 161877.694285096,535954.95353395 161990.701826654,535919.848652192 162184.400790565,535742.402196523 162265.097858939))",2,89194ac213bffff
"POLYGON ((545265.990633387 187745.637510604,545124.011777359 187633.134515577,545159.130341993 187439.885820475,545336.228346405 187359.143501628,545478.204623123 187471.650194806,545443.085128862 187664.895149646,545265.990633387 187745.637510604))",3,89194e6aa37ffff
"POLYGON ((512311.428011319 177367.20622857,512168.679089939 177254.31344646,512203.681590747 177060.558524158,512381.434947762 176979.701008987,512524.181749279 177092.598001845,512489.177617798 177286.34858741,512311.428011319 177367.20622857))",4,89194ad961bffff
"POLYGON ((516809.86874123 182252.884966048,516667.248178281 182140.108134398,516702.267182907 181946.468546684,516879.908388602 181865.609283981,517022.526793984 181978.388593314,516987.506382665 182172.024434781,516809.86874123 182252.884966048))",5,89194adb683ffff
"POLYGON ((551534.244533959 185419.146778218,551392.383029077 185306.647880421,551427.524278359 185113.441666281,551604.52794271 185032.738370979,551746.386512325 185145.240680077,551711.244352857 185338.442873301,551534.244533959 185419.146778218))",6,89194e61b57ffff
"POLYGON ((528626.994624881 173676.186236366,528484.573565053 173563.336177217,528519.640308864 173369.711903691,528697.130342689 173288.942645814,528839.549632982 173401.797173425,528804.481188161 173595.416962472,528626.994624881 173676.186236366))",7,89194ad1367ffff
"POLYGON ((540152.36266145 183693.715036658,540010.246933094 183581.10576005,540045.350014402 183387.747695327,540222.570040626 183307.002580355,540364.682934673 183419.61488609,540329.578663022 183612.968927592,540152.36266145 183693.715036658))",8,89194e68a7bffff
"POLYGON ((532357.722582089 173754.681964792,532215.380123871 173641.855293451,532250.46181168 173448.27489274,532427.887241643 173367.525175249,532570.226864376 173480.355244099,532535.143892638 173673.931633045,532357.722582089 173754.681964792))",9,89194ad1cc3ffff
"POLYGON ((533855.021308036 176269.572164447,533712.726229609 176156.798287307,533747.811732717 175963.269075778,533925.193508438 175882.517764712,534067.485799559 175995.295019599,534032.399056594 176188.82022305,533855.021308036 176269.572164447))",10,89194ad0667ffff
"POLYGON ((548548.853983738 179513.009812757,548406.899467905 179400.386068422,548442.042037704 179207.058885967,548619.140032932 179126.361096133,548761.09218764 179238.987881434,548725.948265043 179432.310071451,548548.853983738 179513.009812757))",11,89194e6f32fffff
"POLYGON ((508138.088178887 175174.284885345,507995.234338786 175061.324102837,508030.219255014 174867.495020288,508208.059368236 174786.630090842,508350.910380315 174899.594094031,508315.924107183 175093.419806101,508138.088178887 175174.284885345))",12,89195d36397ffff
"POLYGON ((520542.108841133 181442.284100892,520399.563641552 181329.517681025,520434.596473486 181135.909504169,520612.175803333 181055.071891881,520754.718073003 181167.842034371,520719.683942811 181361.446018094,520542.108841133 181442.284100892))",13,89195da5b77ffff
"POLYGON ((516389.678905939 184576.341139596,516247.062260512 184463.603486515,516282.071782089 184269.992709683,516459.699731716 184189.123934841,516602.313680415 184301.865102377,516567.302376242 184495.471530406,516389.678905939 184576.341139596))",14,89195dae9cbffff
"POLYGON ((541302.626281817 172878.841664868,541160.470710237 172766.059800514,541195.585629265 172572.565464484,541372.857764613 172491.857806514,541515.011264259 172604.644382693,541479.894643259 172798.13418932,541302.626281817 172878.841664868))",15,89194ad2867ffff
"POLYGON ((506974.841979853 178905.458725984,506831.988595154 178792.556684417,506866.974270365 178598.759934583,507044.814181649 178517.869228473,507187.664592618 178630.774678336,507152.678066032 178824.567426143,506974.841979853 178905.458725984))",16,89195d3668fffff
"POLYGON ((530279.715191843 196883.163913095,530137.47197211 196770.724927327,530172.523145069 196577.437816172,530349.818879851 196496.593426786,530492.059198063 196609.036087926,530457.006533814 196802.319613332,530279.715191843 196883.163913095))",17,89195db4a77ffff
"POLYGON ((539919.502380099 173331.061203058,539777.319859321 173218.278330235,539812.429014458 173024.773425855,539989.721912635 172944.055408941,540131.90158417 173056.841677582,540096.791206775 173250.342567436,539919.502380099 173331.061203058))",18,89194ad2aabffff
"POLYGON ((539833.024948952 183661.853764515,539690.902028088 183549.243972726,539726.004079797 183355.881289005,539903.230042582 183275.132745838,540045.350014402 183387.747695327,540010.246933094 183581.10576005,539833.024948952 183661.853764515))",19,89194e699b7ffff
"POLYGON ((538321.986728001 173170.73585482,538179.768757439 173057.940122264,538214.871786128 172864.415101333,538392.194009909 172783.68982807,538534.409131007 172896.488956777,538499.304877793 173090.009962712,538321.986728001 173170.73585482))",20,89194ad01b7ffff
"POLYGON ((550466.876332893 182361.556086473,550324.97660581 182248.993400703,550360.114422612 182055.72156869,550537.154770917 181975.018722552,550679.050105756 182087.581116316,550643.91104255 182280.850017701,550466.876332893 182361.556086473))",21,89194e6f56bffff
"POLYGON ((513735.618160403 189337.825372855,513592.976487613 189225.151712748,513627.976652979 189031.581177135,513805.619656227 188950.688305394,513948.258451244 189063.365386403,513913.257120792 189256.931918373,513735.618160403 189337.825372855))",22,89195dae3b7ffff
"POLYGON ((525201.026831108 168303.630450689,525058.500279768 168190.661920863,525093.558677611 167996.923474921,525271.144879829 167916.157329172,525413.668541355 168029.128994509,525378.608881068 168222.863579197,525201.026831108 168303.630450689))",23,89194ad8d87ffff
