"source","neighbor"
1,7678
1,11246
1,11489
1,14582
1,15361
1,15891
2,2737
2,2832
2,3374
2,8881
2,16169
2,16436
3,847
3,5466
3,8059
3,8507
3,10538
3,12087
4,1656
4,1865
4,6055
4,9617
4,14802
4,14835
5,6382
5,9700
5,10332
5,14220
5,14613
5,14635
6,6761
6,7390
6,7432
6,8922
6,12957
6,16502
7,3088
7,4397
7,9215
7,9682
7,9948
7,13225
8,1800
8,4988
8,5593
8,11227
8,12159
8,16412
9,1468
9,3650
9,3757
9,8142
9,10026
9,11001
10,336
10,1028
10,7735
10,9292
10,12976
10,15712
11,950
11,2936
11,11688
11,12028
11,13499
11,15015
12,938
12,4292
12,9047
12,10962
12,11686
12,12754
13,330
13,5316
13,10849
13,11179
13,16094
13,16606
14,1559
14,1564
14,4056
14,7593
14,12502
14,12570
15,2041
15,2223
15,3483
15,12414
15,12483
15,14216
16,4632
16,11097
16,12918
16,13673
16,16103
16,16214
17,2578
17,4087
17,11112
17,12006
17,12691
17,15156
18,1195
18,2656
18,6083
18,6294
18,10251
18,13747
19,2108
19,3306
19,7924
19,9286
19,10250
19,16470
20,187
20,4519
20,5621
20,9321
20,10948
20,13997
21,2966
21,3112
21,5513
21,11498
21,14637
21,14654
22,1059
22,6249
22,6523
22,9724
22,10899
22,11941
23,3932
23,7910
23,10249
23,10872
23,14832
23,16399
24,2062
24,8205
24,11122
24,11277
24,14194
24,14685
25,156
25,1392
25,3164
25,3282
25,10576
25,12248
26,3823
26,11735
26,12433
26,15450
26,15768
26,16029
27,874
27,4483
27,4693
27,7110
27,7589
27,12341
28,724
28,8393
28,11216
28,11347
28,13295
28,15466
29,1478
29,4718
29,6122
29,6972
29,7166
29,7945
30,1236
30,5053
30,10705
30,12066
30,14319
30,16814
31,1217
31,6131
31,6272
31,7300
31,8299
31,9684
32,3853
32,5518
32,6402
32,6928
32,6968
32,14720
33,3841
33,6329
33,10732
33,11746
33,13126
33,14460
34,1996
34,6458
34,10073
34,11091
34,11779
34,15171
35,4647
35,4934
35,7578
35,9148
35,9619
35,9670
36,3343
36,6366
36,7272
36,8183
36,15379
36,16870
37,1419
37,3825
37,7352
37,8761
37,11334
37,15820
38,462
38,4658
38,6187
38,11473
38,12258
38,13250
39,282
39,8056
39,8597
39,11615
39,11882
39,12964
40,365
40,6612
40,7254
40,8356
40,11079
40,14343
41,5183
41,7556
41,8405
41,12184
41,15593
41,16512
42,3635
42,10472
42,12350
42,13051
42,14259
42,14797
43,1383
43,2458
43,6553
43,9339
43,9456
43,13271
44,3113
44,8515
44,9425
44,9985
44,13628
44,15884
45,235
45,3975
45,9309
45,11940
45,15567
45,16155
46,6199
46,7059
46,7381
46,9654
46,11381
46,12082
47,4511
47,5893
47,6044
47,9202
47,11873
47,13100
48,2661
48,5708
48,10340
48,12689
48,15194
48,16701
49,126
49,1023
49,2019
49,3245
49,8332
49,8684
50,1400
50,3006
50,6918
50,7203
50,14918
50,15333
51,5075
51,5652
51,9836
51,11118
51,11465
51,16662
52,1164
52,3648
52,7168
52,14916
52,15849
52,16507
53,786
53,2182
53,5686
53,6537
53,8674
53,10943
54,2382
54,6805
54,10346
54,12239
54,13927
54,15611
55,8017
55,8659
55,9545
55,9840
55,10931
55,16359
56,3857
56,6462
56,9856
56,13082
56,13263
56,13516
57,561
57,1972
57,4500
57,6113
57,16112
57,16127
58,4400
58,4893
58,5842
58,7154
58,7414
58,12982
59,4018
59,5062
59,9830
59,10739
59,11222
59,11332
60,558
60,5064
60,5662
60,10080
60,10584
60,10745
61,1994
61,5747
61,9930
61,12960
61,13390
61,14333
62,2767
62,2948
62,7870
62,10013
62,12900
62,16026
63,1962
63,8060
63,14295
63,14618
63,14873
63,14988
64,3377
64,6165
64,11563
64,12021
64,14755
64,16137
65,160
65,460
65,7114
65,11014
65,15511
65,16505
66,2122
66,5355
66,5359
66,8978
66,12071
66,13657
67,2445
67,9102
67,10625
67,10882
67,13246
67,15901
68,893
68,2907
68,7448
68,7640
68,10488
68,13462
69,3638
69,4247
69,8376
69,10640
69,13032
69,13749
70,6377
70,9436
70,9492
70,11418
70,11462
70,16128
71,2201
71,9798
71,10755
71,11652
71,12789
71,13372
72,5689
72,8601
72,10975
72,12208
72,14505
72,16335
73,3029
73,4030
73,6839
73,10908
73,14668
73,15296
74,7009
74,9070
74,11575
74,12618
74,14426
74,15853
75,249
75,7443
75,9045
75,9964
75,13769
75,16548
76,1139
76,6758
76,8683
76,9135
76,9470
76,14388
77,2207
77,3999
77,7421
77,8310
77,10767
77,14652
78,1112
78,3222
78,3231
78,7087
78,11513
78,16290
79,1270
79,2252
79,3731
79,8807
79,9017
79,14196
80,3285
80,6826
80,9425
80,9985
80,10627
80,16760
81,1119
81,2223
81,3200
81,6481
81,10291
81,11712
82,774
82,1006
82,9082
82,10622
82,13502
82,14838
83,8920
83,11780
83,14525
83,15509
83,15888
83,16345
84,6790
84,7282
84,8214
84,8662
84,12092
84,16305
85,1929
85,10321
85,10764
85,12510
85,13724
85,15192
86,8631
86,8774
86,11827
86,12388
86,13934
86,14697
87,1537
87,3419
87,7382
87,10586
87,14531
87,15575
88,929
88,3764
88,4904
88,11133
88,11634
88,11994
89,1534
89,4044
89,4930
89,6478
89,10301
89,10725
90,2255
90,2765
90,2992
90,11181
90,12471
90,12622
91,3565
91,5312
91,6983
91,12199
91,13598
91,14549
92,6087
92,6163
92,8242
92,9152
92,12465
92,12972
93,2028
93,2121
93,2424
93,4431
93,12316
93,14018
94,1566
94,3173
94,3832
94,5759
94,7965
94,9918
95,231
95,963
95,1470
95,6804
95,10167
95,10493
96,2228
96,2590
96,5647
96,7180
96,11046
96,11861
97,2755
97,3151
97,5334
97,7245
97,10524
97,15606
98,4726
98,8513
98,9404
98,10861
98,15537
98,15665
99,1323
99,4477
99,4518
99,8266
99,10630
99,12429
100,1665
100,4709
100,8395
100,11377
100,12561
100,14814
101,956
101,3982
101,4258
101,5475
101,11095
101,14334
102,3885
102,5704
102,5834
102,9189
102,10173
102,16287
103,948
103,4616
103,7548
103,12579
103,13269
103,16134
104,989
104,2209
104,6387
104,7626
104,9010
104,13296
105,6853
105,8124
105,8416
105,10123
105,14260
105,15935
106,1243
106,4483
106,5950
106,6093
106,12668
106,16358
107,2547
107,4626
107,6465
107,10134
107,12302
107,14264
108,3916
108,7713
108,12256
108,12326
108,14534
108,16021
109,1736
109,3187
109,6297
109,7972
109,7999
109,14599
110,2057
110,2838
110,3346
110,7072
110,9887
110,16099
111,6290
111,12226
111,12647
111,13463
111,16184
111,16669
112,694
112,841
112,3477
112,4755
112,10050
112,16488
113,1807
113,8462
113,10010
113,10384
113,11561
113,13743
114,1481
114,7399
114,12904
114,13055
114,14944
114,15914
115,513
115,1791
115,2020
115,3391
115,3826
115,14310
116,448
116,983
116,11879
116,13424
116,15325
116,16013
117,1489
117,8921
117,12511
117,13072
117,14394
117,15880
118,3701
118,7759
118,14112
118,15386
118,15552
118,15679
119,5180
119,7873
119,7902
119,9454
119,13355
119,15852
120,8811
120,9425
120,11360
120,15884
120,16342
120,16760
121,1414
121,9235
121,9944
121,13232
121,15807
121,16453
122,11820
122,12272
122,13056
122,14501
122,14959
122,15161
123,3807
123,3999
123,8880
123,10767
123,11546
123,16625
124,3827
124,5691
124,8778
124,13079
124,13108
124,13726
125,1421
125,5831
125,7909
125,8885
125,13137
125,14701
126,49
126,7323
126,7340
126,8332
126,8684
126,11236
127,817
127,1663
127,8653
127,12229
127,12232
127,16299
128,3819
128,4957
128,7429
128,14576
128,15347
128,15793
129,2981
129,3282
129,3690
129,4398
129,12248
129,16262
130,3115
130,6188
130,7845
130,11402
130,14247
130,14356
131,4885
131,7119
131,8814
131,10646
131,12487
131,16756
132,3612
132,7061
132,12003
132,12321
132,13998
132,16146
133,1731
133,3130
133,6400
133,10978
133,13439
133,14678
134,2899
134,4977
134,9351
134,13104
134,13301
134,14798
135,1171
135,1406
135,5721
135,8088
135,8089
135,13508
136,2652
136,3277
136,3635
136,5361
136,5653
136,12678
137,1715
137,3184
137,3954
137,4911
137,9553
137,14973
138,3323
138,3367
138,5438
138,7577
138,14068
138,14431
139,6185
139,6299
139,7644
139,12601
139,13320
139,13625
140,1274
140,2336
140,6177
140,10003
140,11457
140,14421
141,1714
141,4675
141,7803
141,7929
141,11113
141,13563
142,1498
142,7754
142,8785
142,9025
142,10508
142,13085
143,1590
143,2058
143,5788
143,6416
143,6604
143,10558
144,696
144,4804
144,7874
144,8328
144,8489
144,10762
145,5429
145,5895
145,8562
145,8604
145,11565
145,13950
146,2263
146,8951
146,9027
146,9899
146,12535
146,12683
147,1106
147,3611
147,3940
147,5210
147,6354
147,6670
148,1052
148,3278
148,3421
148,7530
148,8910
148,15581
149,5840
149,6189
149,7436
149,10968
149,12438
149,15833
150,7107
150,7964
150,11896
150,13160
150,14790
150,16583
151,7958
151,9234
151,11878
151,12574
151,14759
151,14985
152,4679
152,9699
152,12296
152,12439
152,12494
152,16588
153,1008
153,1817
153,9368
153,10866
153,12809
153,13954
154,2742
154,10682
154,12716
154,14610
154,15619
154,16295
155,211
155,1867
155,2461
155,7493
155,8074
155,14779
156,25
156,2287
156,3164
156,3282
156,9959
156,12738
157,5413
157,6992
157,8981
157,9236
157,12583
157,15756
158,8458
158,8576
158,9190
158,10015
158,10691
158,13537
159,465
159,6956
159,7530
159,10174
159,13919
159,16638
160,65
160,1035
160,1798
160,8564
160,15511
160,16505
161,1156
161,5170
161,5482
161,9292
161,10057
161,12976
162,6524
162,7350
162,8324
162,11984
162,15571
162,16871
163,1705
163,4814
163,6576
163,8769
163,9381
163,15500
164,424
164,1655
164,3119
164,3673
164,7852
164,16285
165,2140
165,4500
165,6113
165,6428
165,6484
165,15826
166,3273
166,4219
166,4547
166,6816
166,13184
166,16221
167,2375
167,5017
167,7501
167,8261
167,14436
167,16493
168,1307
168,7183
168,14677
168,15846
168,16280
168,16836
169,269
169,1531
169,6396
169,14485
169,15111
169,15516
170,1854
170,5596
170,8432
170,9680
170,10145
170,16324
171,1368
171,8452
171,12714
171,12830
171,13522
171,15305
172,880
172,1759
172,5957
172,6879
172,6910
172,10448
173,628
173,2714
173,6585
173,6689
173,12679
173,15820
174,696
174,753
174,5637
174,5699
174,7227
174,14830
175,241
175,2356
175,2788
175,4240
175,5443
175,15074
176,1593
176,2714
176,4413
176,6962
176,7409
176,12230
177,314
177,2716
177,5493
177,13936
177,15318
177,16369
178,1438
178,2849
178,3985
178,4698
178,6390
178,12594
179,3498
179,7036
179,11207
179,11580
179,13033
179,15752
180,196
180,2151
180,6351
180,11703
180,14397
180,16258
181,6579
181,6777
181,9259
181,10149
181,11983
181,14815
182,4182
182,6838
182,9370
182,9488
182,11162
182,11846
183,3051
183,8523
183,9619
183,9670
183,12547
183,16451
184,1442
184,6311
184,11019
184,12600
184,15443
184,16198
185,517
185,5886
185,6300
185,8199
185,10554
185,14320
186,7041
186,7679
186,9719
186,10940
186,11094
186,14596
187,20
187,1600
187,3118
187,5621
187,6860
187,13997
188,6971
188,7693
188,9361
188,10315
188,10561
188,12127
189,1178
189,2976
189,7313
189,7889
189,12293
189,14454
190,1451
190,1830
190,11476
190,12574
190,15675
190,16040
191,3072
191,3654
191,4521
191,5671
191,11760
191,14539
192,415
192,4252
192,8039
192,12584
192,14159
192,15058
193,945
193,3294
193,3467
193,3950
193,4831
193,7212
194,737
194,980
194,12684
194,14372
194,16317
194,16816
195,468
195,1709
195,11387
195,11902
195,14573
195,16646
196,180
196,2151
196,6351
196,11703
196,13362
196,16258
197,1728
197,7425
197,11487
197,13201
197,14173
197,14514
198,2353
198,6688
198,8185
198,10317
198,11847
198,13141
199,1226
199,4887
199,6273
199,8118
199,12200
199,14360
200,393
200,986
200,1021
200,2664
200,11441
200,14538
201,3499
201,3831
201,4132
201,5234
201,10422
201,11961
202,791
202,7157
202,8931
202,10106
202,11306
202,15857
203,3995
203,6268
203,9043
203,9706
203,12914
203,15724
204,1535
204,3542
204,5603
204,14561
204,15441
204,16595
205,311
205,4197
205,5948
205,11919
205,13624
205,16176
206,3570
206,4069
206,8760
206,13716
206,14718
206,16767
207,3500
207,3691
207,4378
207,7991
207,13696
207,16077
208,1147
208,4752
208,14027
208,14634
208,15149
208,16447
209,461
209,906
209,2013
209,7573
209,11825
209,14377
210,735
210,3767
210,5962
210,6282
210,8293
210,8500
211,155
211,2461
211,4416
211,7493
211,10164
211,13382
212,1203
212,1420
212,5727
212,5863
212,11018
212,15027
213,4710
213,10869
213,11948
213,13171
213,13321
213,14413
214,3354
214,3403
214,4498
214,5847
214,7285
214,11177
215,1471
215,2085
215,3772
215,7339
215,7500
215,16655
216,9061
216,10717
216,12148
216,12655
216,12763
216,13049
217,5565
217,6082
217,7969
217,9415
217,10160
217,15631
218,2376
218,4982
218,8277
218,9145
218,9609
218,14528
219,10464
219,10898
219,11044
219,11137
219,12997
219,14706
220,1293
220,2316
220,3102
220,4013
220,13608
220,16602
221,277
221,3121
221,4385
221,12099
221,12161
221,14181
222,2044
222,4559
222,4612
222,4811
222,8375
222,11645
223,2125
223,4967
223,6403
223,9813
223,15943
223,16820
224,4664
224,9108
224,10709
224,11153
224,13775
224,14437
225,4345
225,5374
225,5717
225,8146
225,12798
225,14551
226,605
226,697
226,2593
226,6944
226,7854
226,8210
227,1386
227,1577
227,2706
227,4384
227,13913
227,16607
228,3540
228,5349
228,5492
228,9766
228,15151
228,16654
229,3028
229,11026
229,12827
229,13223
229,14768
229,14856
230,1633
230,2229
230,4019
230,12788
230,13334
230,15414
231,95
231,1868
231,7674
231,10167
231,10493
231,15428
232,4965
232,5444
232,9663
232,11081
232,11723
232,15962
233,772
233,3264
233,3368
233,4653
233,15224
233,16879
234,746
234,2328
234,5386
234,7671
234,13614
234,13824
235,45
235,1106
235,6354
235,9094
235,9309
235,16155
236,6835
236,9070
236,9903
236,12609
236,13736
236,13939
237,2367
237,2953
237,3519
237,10581
237,14523
237,15460
238,2402
238,7507
238,8861
238,10400
238,13395
238,15773
239,859
239,1317
239,2655
239,7256
239,8144
239,14605
240,2758
240,2996
240,5083
240,5406
240,7836
240,15964
241,175
241,2395
241,2788
241,4885
241,13247
241,15074
242,2450
242,5457
242,7315
242,8151
242,10007
242,15430
243,1638
243,2208
243,3518
243,6896
243,8674
243,15536
244,1816
244,7574
244,12021
244,12431
244,14755
244,15237
245,257
245,1735
245,3715
245,4257
245,4707
245,9084
246,351
246,1874
246,7835
246,13796
246,13943
246,14324
247,3380
247,5065
247,7008
247,13556
247,13909
247,14548
248,3024
248,5928
248,9590
248,11130
248,12493
248,14831
249,75
249,2400
249,3297
249,9045
249,9792
249,9964
250,1379
250,7587
250,8613
250,14030
250,15832
250,16393
251,3868
251,7307
251,13303
251,14064
251,14121
251,14648
252,731
252,1056
252,4514
252,6597
252,7727
252,10909
253,2176
253,4476
253,11086
253,13216
253,13469
253,15102
254,1154
254,7074
254,7714
254,10051
254,14659
254,16076
255,987
255,7450
255,8765
255,10197
255,14781
255,14934
256,895
256,6990
256,8059
256,8507
256,9755
256,9978
257,245
257,2637
257,3715
257,9084
257,13219
257,16645
258,4751
258,6673
258,9610
258,9668
258,11904
258,16026
259,4678
259,5337
259,7879
259,10441
259,12589
259,13814
260,3321
260,5357
260,5545
260,5742
260,7798
260,9830
261,569
261,803
261,8802
261,11611
261,12891
261,15043
262,1158
262,2077
262,2984
262,13939
262,14805
262,16862
263,580
263,3766
263,7920
263,16111
263,16238
263,16291
264,2161
264,5534
264,7885
264,10641
264,13881
264,15087
265,2857
265,5205
265,7106
265,8980
265,11935
265,15396
266,973
266,5056
266,5701
266,5804
266,6876
266,16583
267,4212
267,7706
267,8764
267,10391
267,11384
267,12745
268,2860
268,5065
268,5509
268,7008
268,10543
268,11594
269,169
269,315
269,2355
269,6396
269,15111
269,15327
270,3010
270,6881
270,7980
270,13169
270,15882
270,16708
271,3138
271,10287
271,12175
271,12675
271,14215
271,16360
272,1170
272,6934
272,8775
272,11312
272,14463
272,16013
273,1856
273,4755
273,5850
273,11025
273,13839
273,15417
274,1288
274,3155
274,4070
274,13125
274,13394
274,14982
275,1447
275,4996
275,5246
275,11435
275,11637
275,16625
276,2681
276,5849
276,9573
276,10154
276,11369
276,12508
277,221
277,4385
277,8435
277,12161
277,14284
277,16045
278,436
278,1126
278,5538
278,6227
278,8958
278,9320
279,1344
279,5787
279,9607
279,10578
279,10854
279,15307
280,1815
280,5158
280,9118
280,10716
280,13822
280,15585
281,544
281,4503
281,6843
281,9711
281,13355
281,14650
282,39
282,2799
282,8597
282,9883
282,12368
282,12964
283,1052
283,3170
283,9965
283,11781
283,13919
283,16517
284,4878
284,12520
284,13089
284,13674
284,14700
284,16131
285,1072
285,8140
285,12175
285,12590
285,13228
285,14201
286,4629
286,4876
286,7346
286,7911
286,8904
286,15583
287,4364
287,5753
287,7718
287,12805
287,13112
287,16355
288,2103
288,3349
288,3924
288,4919
288,8563
288,13249
289,3859
289,5849
289,6034
289,7558
289,12508
289,14296
290,434
290,1529
290,5224
290,7129
290,7130
290,11544
291,689
291,768
291,8359
291,10560
291,14775
291,15412
292,2621
292,4261
292,9416
292,10205
292,14286
292,14929
293,595
293,8671
293,10836
293,12216
293,14089
293,15242
294,3732
294,3820
294,3872
294,10376
294,11609
294,12686
295,3481
295,4713
295,8527
295,10272
295,10573
295,12922
296,716
296,3865
296,6821
296,12281
296,12636
296,15352
297,417
297,4189
297,4594
297,6102
297,11052
297,11741
298,7438
298,7657
298,8840
298,10098
298,14014
298,16822
299,5323
299,5542
299,7613
299,9110
299,9638
299,15190
300,2534
300,5025
300,5060
300,9065
300,10985
300,13740
301,2248
301,3178
301,6717
301,8465
301,12164
301,16118
302,575
302,1651
302,2990
302,6706
302,7939
302,10575
303,1688
303,6657
303,11524
303,13877
303,15386
303,15630
304,480
304,914
304,6540
304,9916
304,13641
304,14374
305,853
305,1524
305,4803
305,6682
305,8096
305,8925
306,4921
306,5135
306,5661
306,9182
306,10056
306,14950
307,1718
307,3349
307,5973
307,7412
307,9092
307,13420
308,1161
308,3391
308,8755
308,11447
308,11650
308,13503
309,4399
309,6918
309,14731
309,14839
309,14918
309,16331
310,4153
310,6047
310,9302
310,11790
310,15330
310,16846
311,205
311,819
311,2169
311,3748
311,5948
311,13624
312,1625
312,7137
312,7552
312,7636
312,11819
312,16172
313,3964
313,8209
313,8588
313,12312
313,13105
313,15035
314,177
314,3698
314,5493
314,8115
314,8508
314,15318
315,269
315,4685
315,6310
315,6396
315,15177
315,15327
316,5272
316,8852
316,10397
316,11004
316,14521
316,14571
317,3360
317,3574
317,5670
317,5873
317,10815
317,13027
318,2780
318,3316
318,5565
318,10160
318,13880
318,16818
319,3224
319,5752
319,7101
319,8166
319,10824
319,15645
320,1792
320,1971
320,3301
320,3506
320,6914
320,12846
321,1934
321,4135
321,4768
321,8335
321,13475
321,13904
322,2761
322,8726
322,11423
322,14585
322,14943
322,15276
323,4956
323,6514
323,7129
323,13916
323,14319
323,14716
324,1145
324,3568
324,8626
324,8869
324,12525
324,15513
325,2478
325,3392
325,5042
325,5607
325,6442
325,15966
326,4974
326,8033
326,9348
326,9782
326,11949
326,15957
327,1496
327,2134
327,5085
327,8233
327,8494
327,9496
328,2389
328,4047
328,4783
328,8569
328,9163
328,12747
329,8257
329,10006
329,10247
329,11152
329,11965
329,13212
330,13
330,4344
330,6435
330,10849
330,16082
330,16094
331,6439
331,7044
331,7122
331,9517
331,13427
331,14440
332,724
332,873
332,4694
332,7696
332,11216
332,13445
333,1634
333,3576
333,8661
333,10139
333,13489
333,16456
334,1880
334,4834
334,5022
334,8490
334,8768
334,11141
335,801
335,3281
335,6903
335,11494
335,13949
335,16519
336,10
336,352
336,1028
336,12976
336,14167
336,14252
337,1060
337,1639
337,4581
337,5190
337,5430
337,8574
338,2022
338,8006
338,13625
338,14105
338,15618
338,16339
339,4852
339,7398
339,8167
339,9073
339,9141
339,13251
340,553
340,3224
340,7069
340,8593
340,11918
340,15645
341,356
341,1614
341,2534
341,3746
341,5025
341,12172
342,894
342,3424
342,3636
342,7079
342,7388
342,10791
343,1892
343,3404
343,9402
343,9479
343,10545
343,16589
344,1888
344,2218
